time,forward_velocity,right_velocity,down_velocity,forward_position,right_position,down_position,horizontal_distance,3d_displacement,path_distance
1.0,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.01,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.02,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.03,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.04,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.05,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.06,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.07,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.08,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.09,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.1,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.11,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.12,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.13,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.14,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.15,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.16,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.17,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.18,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.19,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.2,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.21,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.22,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.23,0.0,0.0,0.0,0.07589179043041178,0.2535937863674956,0.1999938300058222,0.2647062000387156,0.3317633258504234,0.33176823768275093
1.24,-2.1061293499433487e-05,0.0002527588545172,0.0009887165605313,0.07589168512394429,0.25359505016176814,0.19999877358862483,0.2647073805875114,0.3317672478929402,0.33177334133598585
1.25,-0.0001218716377873,0.0003346173179976,0.002066352301338,0.07589097045928785,0.2535979870426307,0.20001404893293417,0.2647099892888948,0.3317785378831382,0.3317889128535272
