time_seconds,forward_acceleration,right_acceleration,down_acceleration
0.820665,-0.09210427939493168,-0.02971146148175561,0.027954764620506355
0.8409,-0.09253554688021712,-0.006238410823508828,0.06700789775518137
0.861094,-0.06785240219314666,0.04755890176953425,0.09831206202223368
0.880796,-0.006474864888824916,0.10596091421688217,0.14397716101905222
0.900932,0.04361544450671097,0.12315922572163218,0.15649331573450626
0.921063,0.03836375330082578,0.113115755389338,0.15203509199962392
0.941355,0.024208458108276362,0.09348050152798337,0.14946885453795564
0.961227,0.044419064494033524,0.09879687523676839,0.1584158150872671
0.981014,0.03410448684214116,0.070572413957982,0.13106639190213368
1.001414,-0.011778246403654163,0.014256723087648948,0.1282792059427656
1.020894,-0.044574220029819145,-0.005766630596364094,0.1321215440872393
1.041316,-0.06945570084569572,-0.010410849993686674,0.1368026434392433
1.06126,-0.13676903438262553,-0.046345073275573793,0.14055821726637271
1.081562,-0.2107285919488558,-0.0943312203065316,0.12648086234732997
1.101316,-0.19946591039067643,-0.10984888474156947,0.12598419241094233
1.121519,-0.1549242573091651,-0.08076347099239274,0.12313762921207103
1.141454,-0.1274529826753386,-0.0730753533533593,0.10969445895628982
1.162623,-0.11890195848780394,-0.08302101335721986,0.0710071496434288
1.181554,-0.08850391647006055,-0.06574357983455208,0.06423732992241678
1.201809,-0.06244408964850534,-0.019385541467764233,0.056152247096736406
1.221686,-0.04399494458592608,-0.006892234749617532,0.03976829096334806
1.241835,-0.02690479379709934,-0.02598351154137033,0.00355486251304772
1.261915,0.0060460799802589,-0.05484719612434443,-0.020265030024865998
1.282155,-0.0017066895480146408,-0.03632297281304082,-0.0019242777851875823
1.301881,0.008335091864589719,-0.002642550024556095,0.012913598821826239
1.32203,0.017592215370490077,-0.012465513605553697,-0.0005475603631413812
1.341766,0.008401604217795438,-0.0039042859755419566,0.0219275864951026
1.362681,-0.020799539484514785,0.029337247328770223,0.05802111498132304
1.38255,-0.04331435376040703,0.020314285319697083,0.05477617632604106
1.402315,-0.02803156501305997,-0.008225588947480555,0.06243709375826538
1.422201,-0.036781227708355305,0.005313947192276883,0.10281636694550075
1.442222,-0.027842504471083006,0.010988214134900243,0.12106050934143542
1.462659,-0.016618201862346783,0.0058894122025001435,0.1205402127405875
1.482903,0.0036442414714536976,-0.011906397720899697,0.11550494886512722
1.50249,-0.021036405118044863,-0.017062179710056996,0.09593846543797893
1.522395,0.008824721892531076,-0.030347824306607114,0.06858944214612774
1.542577,0.008761723869689035,-0.01900426020600257,0.05145331878645398
1.562633,0.026350374378976655,-0.019349701206823534,0.047847072899802584
1.58268,0.045710181219345836,-0.009255364286366993,0.04890220243401262
1.603135,0.080522940844877,-0.02375485400250583,0.0312825466340129
1.622812,0.049448955664679606,-0.029865630092956334,0.026883799298805723
1.642685,0.018519655478667064,-0.001427461626803117,0.046056530007921696
1.662978,-0.005254991371880303,0.020531416596238347,0.06442976691901767
1.683201,-0.0011501172982109037,0.028766561089568966,0.07453966996822561
1.703184,-0.029647261450281386,0.043945392473375366,0.09745604228501566
1.723076,-0.027131920217609108,0.05474316625442145,0.11050364092962321
1.742976,0.007027367448005198,0.01989810148327165,0.10401813556301173
1.763745,0.009101125952895618,0.004040227247173508,0.10099413427459569
