time_seconds,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,quat_w,quat_x,quat_y,quat_z
1.642685,3.038242,8.485051,4.007894,0.015882,-0.001222,0.000000,0.83769554,0.51170027,-0.18895881,-0.02690208
1.662978,2.820370,8.477868,3.976769,0.033598,-0.007330,-0.033598,0.83762443,0.51176578,-0.18908934,-0.02694761
1.683201,2.576161,8.480263,3.775656,0.026878,0.023213,-0.017104,0.83743024,0.51197141,-0.18929449,-0.02763128
1.703184,2.700660,8.427590,3.857059,0.014050,-0.045204,0.025656,0.83732986,0.51224005,-0.18901528,-0.02760878
1.723076,2.880225,8.429984,3.928885,0.009774,-0.029932,0.039706,0.83717334,0.51231337,-0.18950759,-0.02761653
1.742976,2.863465,8.449138,3.926491,0.017104,-0.025656,0.008552,0.83707631,0.51231682,-0.18995623,-0.02741545
1.763745,2.810793,8.451532,3.878607,0.009163,-0.005498,0.002443,0.83694184,0.51243699,-0.19022013,-0.02744287
1.783477,2.801216,8.403648,3.859453,-0.003665,-0.010996,0.004887,0.83688289,0.51250219,-0.19029969,-0.02746738
1.803384,2.755726,8.401254,3.912126,-0.005498,-0.009774,0.003665,0.83690619,0.51264471,-0.18992415,-0.02669085
1.823738,2.717419,8.446744,3.830723,-0.006109,0.002443,0.020159,0.83698231,0.51308906,-0.18867333,-0.02454562
1.843576,2.808398,8.420407,3.921702,-0.016493,-0.024435,0.018326,0.83714694,0.51425773,-0.18537432,-0.01898384
1.864010,2.789245,8.360553,3.979163,-0.014050,0.007330,0.018326,0.83728993,0.51532859,-0.18221144,-0.01345315
1.883923,2.892196,8.391677,4.007894,0.002443,-0.029932,0.017104,0.83742905,0.51580912,-0.18040441,-0.01038761
1.903773,2.913743,8.501810,3.981557,0.012828,0.006109,0.009163,0.83739835,0.51595849,-0.18016776,-0.00950602
1.923819,2.882619,8.542512,3.816358,0.006720,0.010996,-0.006720,0.83736712,0.51605642,-0.18004909,-0.00919729
1.943644,2.738967,8.501810,3.758897,-0.023824,0.027489,0.000611,0.83735418,0.51622242,-0.17965500,-0.00874516
1.964179,2.928109,8.468291,3.900155,-0.020159,-0.037874,0.020769,0.83752167,0.51658225,-0.17793655,-0.00624440
1.984461,2.896984,8.497022,3.876213,-0.028711,0.010385,0.009774,0.83755952,0.51732302,-0.17569053,-0.00196284
2.004180,3.105280,8.492233,4.058172,-0.043982,-0.013439,-0.012828,0.83769774,0.51760566,-0.17420360,0.00050203
2.023860,2.940080,8.437167,4.137180,-0.015272,0.028711,-0.055589,0.83787531,0.51790470,-0.17241973,0.00336151
2.044552,2.774880,8.504205,3.919308,-0.006109,0.040317,-0.056200,0.83801800,0.51786035,-0.17186065,0.00324543
2.064526,2.576161,8.437167,3.885789,-0.014050,0.003665,-0.030543,0.83812076,0.51789361,-0.17126244,0.00298659
2.084638,2.621651,8.451532,3.907337,-0.031765,-0.006109,0.017715,0.83819979,0.51782674,-0.17108344,0.00269389
2.105150,2.968810,8.415619,4.137180,-0.002443,-0.076358,0.038485,0.83834839,0.51734293,-0.17183046,0.00164451
2.124410,3.007117,8.499416,4.110844,0.021991,-0.033598,0.006109,0.83824342,0.51707679,-0.17314440,0.00076142
2.144117,2.896984,8.449138,4.024653,0.036652,-0.010996,-0.037874,0.83810294,0.51673108,-0.17484273,-0.00155934
2.165205,2.659958,8.468291,3.888184,0.031154,0.009163,-0.042761,0.83792388,0.51634723,-0.17675719,-0.00510335
2.184633,2.674323,8.401254,3.842694,0.010385,0.010385,-0.025045,0.83776444,0.51592201,-0.17859663,-0.00885774
2.205434,2.782062,8.384495,3.830723,-0.007330,0.029932,-0.023824,0.83770919,0.51560402,-0.17964555,-0.01110169
2.224349,2.801216,8.401254,3.845088,-0.020159,0.034819,-0.031765,0.83777666,0.51527923,-0.18016174,-0.01262474
2.244632,2.861071,8.434772,3.821146,-0.023213,0.033598,-0.031154,0.83792526,0.51505923,-0.18005003,-0.01331524
2.265494,2.952051,8.406042,3.787627,-0.039706,0.046426,-0.056200,0.83806747,0.51480973,-0.18004079,-0.01411431
2.285127,2.688689,8.429984,3.785233,-0.065363,0.051313,-0.076358,0.83827394,0.51465690,-0.17949402,-0.01438894
2.304922,2.568978,8.410830,3.790021,-0.087965,0.050091,-0.059254,0.83862019,0.51473373,-0.17774037,-0.01318060
2.324827,2.715025,8.482656,3.948039,-0.109345,0.043371,-0.040928,0.83907121,0.51482427,-0.17548186,-0.01102496
2.344905,2.908955,8.432379,4.096479,-0.105680,0.072082,-0.055589,0.83964729,0.51516753,-0.17191239,-0.00641733
2.365861,2.858677,8.391677,3.976769,-0.095295,0.093462,-0.092852,0.84026557,0.51516479,-0.16896415,-0.00317416
2.385159,2.803610,8.456321,3.770868,-0.135612,0.145997,-0.127060,0.84082001,0.51461881,-0.16785970,-0.00352360
2.405466,2.686294,8.434772,3.881001,-0.183870,0.139888,-0.142332,0.84149802,0.51395637,-0.16647348,-0.00407486
2.425126,2.600103,8.403648,4.058172,-0.204029,0.141110,-0.146608,0.84232491,0.51283538,-0.16569474,-0.00582294
2.445461,2.559402,8.422802,4.129998,-0.204029,0.124006,-0.135001,0.84330434,0.51136625,-0.16514768,-0.00828178
2.466277,2.549825,8.413225,4.307169,-0.191201,0.112399,-0.132558,0.84431905,0.51003343,-0.16400801,-0.00962758
2.486457,2.533065,8.350976,4.321534,-0.164934,0.128282,-0.137445,0.84534580,0.50864482,-0.16293328,-0.01112034
2.505572,2.489970,8.243237,3.845088,-0.177151,0.196088,-0.167988,0.84631693,0.50749266,-0.16140655,-0.01212307
2.525717,2.463634,8.300697,3.746926,-0.286496,0.203418,-0.191812,0.84729207,0.50655121,-0.15918286,-0.01276801
